a,alpha_obj_deg,theta_inc_deg,theta_img_deg,energy_total,energy_cross,f_cross,peak_cross_over_peak_total,hwhm_x,hwhm_y,hwhm_scalar,ellipticity,first_min_x,first_min_y,first_min_scalar,r50,r50_scalar,throughput
1.471209306357316,7.0781778002337425,53.21987834540181,13.868330332847663,140.89427225967532,0.025241872721869684,0.0001791547116645567,5.677685604760477e-05,1.1099347122597378,1.123573829907183,1.1167012554899263,0.9878609511147374,2.6546728478844153,2.6838450769820463,2.6838450769820463,1.1205915720549091,1.1203029902660395,0.5248495170591332
1.5783302369930476,7.431288833236653,55.73651239032381,14.871536522773562,158.07091681471547,0.036242800944226175,0.00022928190507497698,7.295638239361505e-05,1.0364042348996625,1.0508827511742178,1.0435792812932,0.9862225198211908,2.4745007778488337,2.528885410329028,2.501693094088931,1.0445401214439372,1.0441966225652974,0.5116189352587465
1.6854511676287793,7.761436090934523,58.11696073786786,15.877828198202756,175.43126270850436,0.05047848216650197,0.00028773937659205443,9.195384258651008e-05,0.9723981399098887,0.9876979311569896,0.979971319869323,0.9845096453435124,2.317230824691466,2.3936230496812945,2.3426948996880754,0.9782603670130885,0.977857593071547,0.4979262603891384
1.792572098264511,8.06925498270804,60.37383279207581,16.888292415782985,192.81974380658463,0.06843378081061305,0.0003549106510547915,0.00011394809798408729,0.9162270527124307,0.9323316085159699,0.9241887551726904,0.9827265796242032,2.2026996057229797,2.250584379760436,2.226641992741708,0.9200223371791024,0.9195562772732726,0.4838253590290729
1.8996930289002427,8.35542791764977,62.51886990810127,17.90404489973246,210.0822301153189,0.09055901514854661,0.00043106461264637525,0.0001390929661654896,0.8665859271508606,0.883493109049741,0.8749273302148515,0.9808632554960556,2.0784925743308595,2.146269506102518,2.1010848849214123,0.8684894273368186,0.8679564770561922,0.46936732347258314
2.006813959535974,8.620661668092566,64.56290418201756,18.926225253120354,227.06699449338072,0.11724244794219246,0.0005163341691458828,0.00016751905241691996,0.8224520452010281,0.8401540272563762,0.8311651283256052,0.9789300753420702,1.9675455391939995,2.031704632863369,2.0103182683069125,0.8226141731963272,0.8220111972002662,0.4546007788757627
2.1139348901717057,8.865669879600873,66.51586693339817,19.955994564085454,243.62570636149394,0.1487798851973963,0.0006106904210536609,0.00019934086534336017,0.7830141762493157,0.8014970329804052,0.7920932955572845,0.9769395818442894,1.8881453386147906,1.949053252763655,1.908447976664412,0.7815658994011566,0.7808902995280752,0.4395722707936431
2.2210558208074374,9.091159817498335,68.38682817130487,20.994535009927386,259.61449451540267,0.18534173385034083,0.0007139113484256739,0.00023458299081052024,0.747622420874928,0.7668739551813423,0.7570759468435706,0.974896090581324,1.797080591860967,1.874374380758213,1.8357274863095898,0.744679533280121,0.7439293244049354,0.42432671894672574
2.328176751443169,9.297822528965712,70.18405390855814,22.043051119849135,274.8951250130943,0.22693805021146896,0.0008255441059591692,0.0002732352695085946,0.7157521354471685,0.7357617441825617,0.7255726825830864,0.9728042278718582,1.7328301046936112,1.806567555957169,1.7696988303253902,0.7114188337223457,0.7105927293341752,0.40890792946184634
2.4352976820789003,9.486325710805176,71.91507239409101,23.102772421738514,289.3363458020723,0.2733824026557952,0.0009448602176057385,0.0003152182897981167,0.6869776795043024,0.7077511842476136,0.6971585257017929,0.9706485764974102,1.6566084687045626,1.744725940444167,1.6918554574004045,0.6813496840541615,0.6804471931165458,0.3933591637362442
2.542418612714632,9.657308686966596,73.5867433956834,24.174957262082017,302.81545789727886,0.32425582085009824,0.0010708033965693138,0.0003603655114399024,0.6609667916905847,0.6824885416575626,0.6714881371961652,0.9684657709934471,1.6036907527713107,1.6880955292329587,1.63745266335597,0.654120596077885,0.6531421320356778,0.3777237676418334
2.6495395433503637,9.811379006315041,75.20532683478967,25.260897647088306,315.2201842675741,0.3788727757569112,0.0012019305700148495,0.00040849711043900583,0.6374265293962033,0.659685229554201,0.6482836470502853,0.966258604618085,1.5550519652217583,1.6360442550770582,1.5874488811638783,0.629448538308315,0.6283955399073218,0.3620458702806635
2.7566604739860954,9.949110264923513,76.77654857585291,26.36192500598778,326.4509231178243,0.4362521247421248,0.0013363482650795586,0.0004591813444104281,0.6161303929441777,0.6391214483464204,0.6273384861377632,0.964027094597237,1.4946242791597864,1.5880382966072728,1.5413312878835295,0.6071088477818452,0.6059839093205549,0.34637116726126366
2.863781404621827,10.071040836831147,78.30566218773215,27.47941682435065,336.4234932913313,0.49509740216059756,0.001471649311161097,0.0005118047452488761,0.5969024834338147,0.6206392627879378,0.6084543752196765,0.9617543059594772,1.4537038762932804,1.5586103415927952,1.4986637899930724,0.5869497279509008,0.5857463909075311,0.33074780990717456
2.9709023352575588,10.177673263050318,79.79750616612029,28.614804137013866,345.0725079006734,0.5537929391143187,0.0016048596351052227,0.0005656713034048354,0.5796210626656935,0.6040789314329353,0.5914994346508082,0.9595121307918729,1.4157343827077886,1.5168582671869164,1.4735194595530043,0.5688250264927021,0.567559287703617,0.315227429454277
3.07802326589329,10.269474101921254,81.25655653829881,29.769579908119976,352.3555506027865,0.6104253526804748,0.0017324130459594,0.000619823024934193,0.5642013919643278,0.5893695742731555,0.5764088484174619,0.9572964343470453,1.3943512192123317,1.491955804557195,1.4361817557887018,0.5526542868420089,0.5513331934809067,0.29986633481176783
3.1851441965290217,10.3468740863554,82.68697504149142,30.94530836132849,358.2583808244206,0.6628443932171397,0.0018501853095294206,0.0006727842431285797,0.5505853581678578,0.5764526447408286,0.563113278326907,0.9551267796080619,1.3609317760940363,1.4687283524183166,1.4148300642561764,0.5384054999305897,0.5370376595556927,0.2847269347432243
3.2922651271647534,10.410268466776198,84.09265322764699,32.143635358028256,362.80146495890165,0.7087836330051165,0.001953640493390532,0.0007230259654744108,0.5388024724003342,0.5653357293081318,0.5516330940430405,0.9530663718348927,1.3427232278149026,1.4470124105578077,1.3948678191863553,0.5261326399178532,0.5247180911222958,0.26987945159263077
3.399386057800485,10.460017444223114,85.47725293872094,33.366299956986026,366.04822768563787,0.746071006790457,0.002038176803935198,0.0007683384451329364,0.5289053763750861,0.556059667768367,0.5420189607518073,0.9511665870278648,1.3130368947246802,1.4392904422943609,1.3761636685095207,0.5158838648735663,0.5144452334544602,0.2554040156614998
3.5065069884362168,10.49644661748731,86.84424364385241,34.61514732702712,368.11555223063505,0.772973275718839,0.002099811515799661,0.0008060539908620446,0.5210661155237939,0.5487704332177702,0.5344313863054625,0.9495156516878482,1.3096436691145985,1.432040273704748,1.3708419714096733,0.5078480735910186,0.5063877878839063,0.24139325952611604
3.613627919071948,10.519847382418313,88.19693715151939,35.89214322693068,369.18724708584637,0.7887393901471225,0.002136421006881959,0.0008331163273057894,0.5155364879421322,0.5436788397743568,0.5291016265051689,0.948237176484734,1.294574785437308,1.4252199472704308,1.3539589499069091,0.5022615520920234,0.500791969779255,0.22795557362535715
3.7207488497076797,10.530477231570636,89.5385202184754,37.19939031585797,369.531464244753,0.7944390705565371,0.002149855012157648,0.0008464575418899962,0.5127606171502201,0.5411464475363146,0.526437509338192,0.9475450120474281,1.291908469760691,1.418792337326473,1.3495829550178646,0.4995158055830506,0.49804633455880126,0.21521924381602903
