ni,z0,zi,a,eps,p,f_cross,peak_cross_over_peak_total,throughput,hwhm_x,hwhm_y,ellipticity,energy_total
2.2,-10.0,6.0,4.444195556045657,0.7,0,0.023836775450959833,0.012144306900072769,0.05049448636501832,0.29013901921827767,0.32969582365225947,0.8800203047894729,63.20636138903967
2.2,-10.0,6.0,4.444195556045657,0.7,2,0.026682419334005267,0.013159294385176008,0.03801066554461233,0.2842932467035666,0.32471731933299863,0.8755099582847411,27.40803039154316
2.2,-10.0,6.0,4.444195556045657,0.7,4,0.02983446439073144,0.014260040388691494,0.02787278390099472,0.27866705517080637,0.319888798218192,0.8711372724615734,13.273858228990083
2.2,-10.0,6.0,4.444195556045657,0.7,8,0.03576436287375623,0.016552908095781436,0.015709447399021696,0.2686898107899478,0.31130431209457027,0.8631098264656331,4.269156879935844
2.2,-10.0,6.0,4.444195556045657,0.85,0,0.037278828989586156,0.01930794232383103,0.01965230617121505,0.25950254788832033,0.3027300302905908,0.8572078152908175,13.41740972299345
2.2,-10.0,6.0,4.444195556045657,0.85,2,0.03801498200746225,0.019645926145208693,0.01770023987718508,0.2583436984455728,0.3017998761378446,0.8560099551782999,9.029490247431271
2.2,-10.0,6.0,4.444195556045657,0.85,4,0.03879889710076095,0.019994288243315075,0.01570327410473946,0.2571691354861094,0.3008563049874746,0.8547905801635635,6.191549130330852
2.2,-10.0,6.0,4.444195556045657,0.85,8,0.04046696018423707,0.020740953440566343,0.011979422957897477,0.25481609625121915,0.2989734006995118,0.8523035683275595,3.088425099626623
2.2,-10.0,6.0,4.444195556045657,0.95,0,0.049798197850254626,0.02616814035556976,0.0027503067909418312,0.24073180817101386,0.28753433056357103,0.8372280544697963,0.6660167115791442
2.2,-10.0,6.0,4.444195556045657,0.95,2,0.04989054924201085,0.02622062627669219,0.0026974933279994167,0.2406106432077529,0.2874423962112508,0.8370743021183288,0.5907921688906519
2.2,-10.0,6.0,4.444195556045657,0.95,4,0.049983816090994684,0.026273609192851818,0.0026408328062201285,0.24048882066955404,0.28734976773663906,0.8369201846370244,0.5249848389504632
2.2,-10.0,6.0,4.444195556045657,0.95,8,0.05017272418755719,0.02638087852532404,0.0025176231525165936,0.2402434915684695,0.2871627712031926,0.8366108550974958,0.4167579420870936
3.0,-10.0,6.0,4.927843585470479,0.0,0,0.01244126102091397,0.004860977894828441,0.10193736096823719,0.3606773046080164,0.40996268066692876,0.8797808230282456,307.01304167357955
3.0,-10.0,6.0,4.927843585470479,0.0,2,0.032556348087290354,0.012039036016433831,0.042089118941374314,0.2907545201155127,0.33893605951537137,0.8578447525803211,42.25462327352215
3.0,-10.0,6.0,4.927843585470479,0.0,4,0.045097746901908826,0.018086659396143845,0.02518455656274481,0.2644028626523506,0.3135181467745118,0.8433414951336585,15.17030769995512
3.0,-10.0,6.0,4.927843585470479,0.0,8,0.05906598527937948,0.026611927415649616,0.013156920163848335,0.24155422820420486,0.292684240358325,0.8253065758117925,4.403092087731079
3.0,-10.0,6.0,4.927843585470479,0.3,0,0.015814356307187367,0.006669508406139664,0.0876533017165888,0.3326649830177099,0.3786967921455034,0.8784467941568751,240.3463861584045
3.0,-10.0,6.0,4.927843585470479,0.3,2,0.03271004628192016,0.012471173123505682,0.04191673087944787,0.2881853589128744,0.3360111840501771,0.8576659724214394,42.05131655039304
3.0,-10.0,6.0,4.927843585470479,0.3,4,0.0451027670376181,0.018155981058732458,0.025181744379729858,0.26414945917732763,0.31322287384914826,0.8433274873295015,15.168526287518906
3.0,-10.0,6.0,4.927843585470479,0.3,8,0.05906602721259744,0.026612997272287085,0.013156910172432867,0.24155179771206353,0.2926813556999948,0.8253064057816506,4.403088742372476
3.0,-10.0,6.0,4.927843585470479,0.5,0,0.023613810840256443,0.011267412890492712,0.0661415269447983,0.29546100107982665,0.3402075565894672,0.8684727759776458,149.5451509585707
3.0,-10.0,6.0,4.927843585470479,0.5,2,0.034897040062158935,0.015135964502475476,0.039536054146024874,0.27568254938144127,0.3227523391399657,0.8541612746046993,39.07664554683765
3.0,-10.0,6.0,4.927843585470479,0.5,4,0.04544357874616719,0.01931738543126332,0.024989300224878636,0.26039949906374465,0.30918606934635323,0.8422096752749963,15.038201446491966
3.0,-10.0,6.0,4.927843585470479,0.5,8,0.05907489521102325,0.02675170377837254,0.013154307738609452,0.24126098177759625,0.29236225631038043,0.8252124772271098,4.402201450110469
3.0,-10.0,6.0,4.927843585470479,0.7,0,0.0400478945989831,0.02106656205659349,0.0383363532696465,0.25637503424384844,0.30364699101534887,0.8443193637011509,59.00042456986308
3.0,-10.0,6.0,4.927843585470479,0.7,2,0.04491474683892725,0.022914695986895064,0.029410721066245562,0.2510091273078946,0.2993817512817549,0.8384249415110951,26.073872224844344
3.0,-10.0,6.0,4.927843585470479,0.7,4,0.05019167234992434,0.024912906999061835,0.022026364186308194,0.24585794399950675,0.2952861601315295,0.8326090998981941,12.896953979740161
3.0,-10.0,6.0,4.927843585470479,0.7,8,0.059802256351878504,0.02903703283821833,0.012920853932015176,0.2368258396579995,0.28807275647265523,0.8221042578196031,4.317177749652136
3.0,-10.0,6.0,4.927843585470479,0.85,0,0.061700485539786916,0.03373815894783166,0.016301560786566124,0.2289384090602393,0.28097421030406927,0.8148022155217839,13.683961872244982
3.0,-10.0,6.0,4.927843585470479,0.85,2,0.06291949709418058,0.03435681098184655,0.014760818921684996,0.22786679619597083,0.2802104038807937,0.8131989142448446,9.258103702914754
3.0,-10.0,6.0,4.927843585470479,0.85,4,0.06421099722933801,0.03499376465730181,0.013170073316688692,0.22678396298500691,0.2794378121728375,0.8115722107240692,6.3844694320314295
3.0,-10.0,6.0,4.927843585470479,0.85,8,0.06693493482974983,0.03636336273008109,0.01016911983812602,0.22462167019634555,0.2778927545336831,0.8083034427193724,3.223384009573799
