model,R,a,a_over_R,ni,z0,zi,qmax,peak_ratio_R_H2_over_H0,energy_ratio_R_H2_over_H0,peak_ratio_L_H1_over_H0,intensity_delta_from_H2
exact,1.0,0.7,0.7,1.8,2.5,10.0,338.34586466165416,0.0022152389310663733,3.260939709773872e-05,0.0027793081250886606,0.0032292070237173323
exact,1.6,1.1199999999999999,0.7,1.5,2.5,5.0,902.2556390977443,0.0021880412507751094,3.140209905096279e-05,0.0027527600639219,0.0031768455327329586
paraxial,1.2,1.14,0.95,2.0,5.0,10.0,451.1278195488722,0.002155987738079077,3.151796828618688e-05,0.002699008946118558,0.003161303814574367
exact,0.8,0.68,0.85,2.0,2.5,10.0,300.75187969924815,0.002126734916531875,3.011924745725934e-05,0.0026669763897330004,0.00310377904848422
paraxial,1.6,1.1199999999999999,0.7,2.0,5.0,10.0,601.5037593984963,0.0020786984260804066,2.934216040022327e-05,0.0026032592782318574,0.0030529933809447436
exact,1.0,0.7,0.7,1.5,2.5,10.0,281.9548872180451,0.0021070810217067343,2.9258439774047372e-05,0.0026463945410835406,0.0030519374630074135
exact,0.8,0.68,0.85,1.8,2.5,10.0,270.67669172932335,0.0020960889485499602,2.9169989367279205e-05,0.002629316876414271,0.003050994686446731
paraxial,0.8,0.5599999999999999,0.7,2.0,2.5,5.0,601.5037593984963,0.00207924345840423,2.927166332345107e-05,0.002602994266458267,0.0030460882386497833
paraxial,1.2,1.02,0.85,1.8,5.0,10.0,406.01503759398497,0.0020071819216264707,2.729181759295992e-05,0.002512690725013331,0.0029415120837582047
paraxial,1.0,0.85,0.85,1.5,5.0,10.0,281.9548872180451,0.0019919774546820063,2.6816253695794246e-05,0.0024939680385901468,0.0029125471031975565
exact,1.2,1.02,0.85,1.8,2.5,5.0,812.0300751879699,0.001988647275136594,2.623007862525301e-05,0.0024974431318955386,0.002904060287029982
exact,0.8,0.68,0.85,1.5,2.5,10.0,225.56390977443607,0.001998514149778941,2.6302774830576504e-05,0.0025093629927751453,0.0028911386870569423
paraxial,1.2,0.84,0.7,1.5,5.0,10.0,338.3458646616541,0.0019506853635326874,2.574217877864882e-05,0.0024423541340407666,0.0028547469412874334
exact,1.2,1.02,0.85,1.5,2.5,5.0,676.6917293233082,0.0018764181330140465,2.315109118525741e-05,0.002358309136294476,0.002722977315829235
exact,1.0,0.95,0.95,1.8,2.5,5.0,676.6917293233083,0.001761087572329575,2.0616631291641243e-05,0.0022108847566082845,0.002573586588726376
paraxial,1.0,0.95,0.95,1.8,5.0,10.0,338.34586466165416,0.0017479134747847079,2.067406083804205e-05,0.0021879801982737463,0.0025605512481734817
paraxial,1.2,1.02,0.85,2.0,5.0,10.0,451.1278195488722,0.0017202784644705376,2.005841351964552e-05,0.0021535560385467995,0.0025243999745816832
exact,1.0,0.95,0.95,1.5,2.5,5.0,563.9097744360902,0.0016720605255415642,1.84279763961824e-05,0.0021005614420846297,0.0024295704270780446
paraxial,0.8,0.76,0.95,1.5,5.0,10.0,225.56390977443607,0.0015985737527644435,1.723275161110154e-05,0.002001418685265086,0.002334126541679964
paraxial,1.0,0.95,0.95,2.0,5.0,10.0,375.9398496240602,0.0014980218646554208,1.5195687781429324e-05,0.0018756474426739036,0.002197715218862592
exact,0.8,0.5599999999999999,0.7,2.0,2.5,10.0,300.75187969924815,0.001480963180666949,1.4644687910081145e-05,0.0018560781074083666,0.00216162531850941
exact,0.8,0.5599999999999999,0.7,1.8,2.5,10.0,270.67669172932335,0.001465740714088335,1.431047126906894e-05,0.0018375486131725924,0.0021351196061244874
exact,1.0,0.85,0.85,1.8,2.5,5.0,676.6917293233083,0.0014394100914756475,1.380932683043062e-05,0.0018058156115923177,0.002105935737477656
exact,1.2,0.84,0.7,1.8,2.5,5.0,812.0300751879699,0.001412307812059649,1.3308416491731256e-05,0.0017714603272621962,0.002068028296986578
exact,0.8,0.5599999999999999,0.7,1.5,2.5,10.0,225.56390977443607,0.0014163379652451277,1.3270406014681575e-05,0.0017768229781200656,0.0020519646476252675
paraxial,1.0,0.85,0.85,1.8,5.0,10.0,338.34586466165416,0.0013945063036680527,1.3152222825412065e-05,0.0017456443803949798,0.002043899560340414
